-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKerne...         0.00%       0.000us         0.00%       0.000us       0.000us     676.719ms        93.64%     676.719ms      30.760ms           0 B           0 B           0 B           0 B            22  
autograd::engine::evaluate_function: torch::autograd...         1.32%      11.284ms         2.35%      20.151ms      54.758us       0.000us         0.00%     496.342ms       1.349ms           0 B           0 B           0 B           0 B           368  
                                       c10d::allreduce_         0.04%     346.850us         0.16%       1.352ms      84.519us       0.000us         0.00%     494.332ms      30.896ms           0 B           0 B           0 B           0 B            16  
                                     record_param_comms         0.09%     728.895us         0.12%       1.005ms      62.841us     494.332ms        68.41%     494.332ms      30.896ms           0 B           0 B           0 B           0 B            16  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     494.332ms        68.41%     494.332ms      30.896ms           0 B           0 B           0 B           0 B            16  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      31.511ms         4.36%      31.511ms      15.756ms           0 B           0 B           0 B           0 B             2  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us      28.098ms         3.89%      28.098ms      14.049ms           0 B           0 B           0 B           0 B             2  
                                          ProfilerStep*        16.10%     137.899ms        64.57%     553.159ms     276.579ms       0.000us         0.00%      13.034ms       6.517ms           0 B      -2.63 MB       1.00 MB     -55.93 MB             2  
                                               aten::mm         0.60%       5.118ms         0.89%       7.583ms      26.702us      12.046ms         1.67%      12.046ms      42.416us           0 B           0 B     561.89 MB     561.89 MB           284  
    autograd::engine::evaluate_function: AddmmBackward0         0.18%       1.512ms         1.37%      11.714ms     108.463us       0.000us         0.00%       9.587ms      88.766us           0 B           0 B     176.69 MB    -242.00 MB           108  
