-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      27.839ms        50.78%      27.839ms      13.919ms           0 B           0 B           0 B           0 B             2  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us      25.765ms        47.00%      25.765ms      12.883ms           0 B           0 B           0 B           0 B             2  
                                          ProfilerStep*        42.70%      71.362ms        64.43%     107.696ms      53.848ms       0.000us         0.00%      15.140ms       7.570ms           0 B      -2.63 MB       1.00 MB     -55.93 MB             2  
autograd::engine::evaluate_function: torch::autograd...         1.69%       2.817ms         6.59%      11.012ms      29.925us       0.000us         0.00%      15.015ms      40.801us           0 B           0 B           0 B           0 B           368  
                                               aten::mm         2.87%       4.804ms         4.29%       7.174ms      25.261us      13.812ms        25.19%      13.812ms      48.632us           0 B           0 B     561.89 MB     561.89 MB           284  
                                       c10d::allreduce_         0.17%     286.899us         0.70%       1.166ms      72.887us       0.000us         0.00%      13.568ms     847.977us           0 B           0 B           0 B           0 B            16  
                                     record_param_comms         0.39%     648.633us         0.53%     879.299us      54.956us      13.568ms        24.75%      13.568ms     847.977us           0 B           0 B           0 B           0 B            16  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKerne...         0.00%       0.000us         0.00%       0.000us       0.000us      13.568ms        24.75%      13.568ms     847.977us           0 B           0 B           0 B           0 B            16  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us      13.568ms        24.75%      13.568ms     847.977us           0 B           0 B           0 B           0 B            16  
    autograd::engine::evaluate_function: AddmmBackward0         0.85%       1.421ms         6.69%      11.183ms     103.551us       0.000us         0.00%      10.804ms     100.039us           0 B           0 B     176.69 MB    -242.00 MB           108  
